CCDS release 9,CCDS release 15,X [mutability of noncoding sequence],Y [Tally of unique common noncoding variation],ncRVIS,ncRVIS percentile [Ensembl73] (n=690 WGS),ncGERP      [Average GERP++],ncGERP percentile [Ensembl73],RVIS-CHGV percentile [CCDS r14] (n=690 WGS),RVIS percentile (Petrovski et al 2013),pcGERP percentile [CCDS r14],Used in Table 1,ncCADD     [Average CADD],ncGWAVA [Average GWAVA]
HIF3A,HIF3A,5.2062E-05,13,-0.058205649,53.22313034,-0.068837584,51.82010637,84.29228999,30.90351498,58.46982759,Yes,5.288718607,0.641545988
PRDM12,PRDM12,2.10785E-05,5,-0.058184504,53.22927549,0.306746422,36.49506893,-,-,25.35560345,No,8.248046766,0.5131644
CDX1,CDX1,1.33275E-05,3,-0.057890324,53.23542064,0.450618058,32.39531161,-,-,60.54418103,No,8.770453942,0.615136929
COX5B,COX5B,9.45226E-06,2,-0.057758183,53.24156578,-0.988181461,92.7350648,49.30379747,68.71903751,39.83836207,Yes,7.492058685,0.586320423
NOVA1,NOVA1,2.88159E-05,7,-0.05770872,53.24771093,4.791466352,0.020653689,26.55350978,14.96815287,0.183189655,Yes,9.486154897,0.702012149
NOX4,NOX4,1.71961E-05,4,-0.057646397,53.25385608,0.789800892,23.83952083,50.13233602,62.09601321,24.74676724,Yes,8.502667781,0.66960981
OXNAD1,OXNAD1,4.43063E-05,11,-0.057642784,53.26000123,-0.509314713,75.73707854,80.52934407,65.9648502,58.39978448,Yes,8.13034384,0.506516234
TRAT1,TRAT1,1.71955E-05,4,-0.057612402,53.26614638,-0.23672091,60.9903444,72.35327963,80.73248408,71.53017241,Yes,6.85782315,0.611957606
PKNOX2,PKNOX2,2.88138E-05,7,-0.057589738,53.27229153,1.254807497,15.54190117,18.86651323,12.33191791,4.197198276,Yes,8.521158976,0.813061224
UPB1,UPB1,2.49407E-05,6,-0.057578259,53.27843667,-1.134578646,95.36841018,19.28078251,15.26893135,61.06142241,Yes,5.539439537,0.633968139
LIPG,LIPG,4.0432E-05,10,-0.057562727,53.28458182,-0.02925432,49.77539113,40.39125432,79.46449634,49.72521552,Yes,7.452822429,0.714583333
GABRB1,GABRB1,1.33209E-05,3,-0.057516375,53.29072697,1.238290643,15.81039913,16.61680092,28.93371078,17.67780172,Yes,6.44582953,0.584948133
SLC6A2,SLC6A2,1.71935E-05,4,-0.057499085,53.29687212,-0.286056906,63.60819951,17.56041427,24.46331682,37.14439655,Yes,7.981549165,0.740271159
GFPT1,GFPT1,7.14125E-05,18,-0.057419687,53.30301727,0.413988405,33.33505447,11.14499425,22.09247464,12.86637931,Yes,5.990823077,0.565525508
RPS3A,RPS3A,9.44554E-06,2,-0.057377433,53.30916242,0.10794026,43.5224867,38.38319908,54.62962963,12.64008621,Yes,7.288931602,0.456597403
CHST9,CHST9,9.44158E-06,2,-0.057153062,53.31530756,1.028426961,19.36283369,61.27157652,50.01179523,33.84159483,Yes,8.070256944,0.612372401
LRRC14B,LRRC14B,5.56628E-06,1,-0.057017661,53.32145271,-0.537376765,77.08989518,22.04257768,-,72.89331897,No,6.327887681,0.645833333
ARID3C,ARID3C,5.56575E-06,1,-0.056987631,53.32759786,0.788125276,23.88082821,73.89528193,80.81505072,47.25215517,Yes,9.701559809,0.573947368
SLC22A18,SLC22A18,1.33104E-05,3,-0.056921458,53.33374301,-0.679129338,83.08462849,86.67433832,93.42415664,82.29525862,Yes,7.82851056,0.509177852
SERTAD4,SERTAD4,4.42912E-05,11,-0.056787211,53.33988816,1.34268351,14.26137244,64.03912543,89.79122435,20.49568966,Yes,8.588223562,0.577839689
KCNN4,KCNN4,1.71803E-05,4,-0.056751192,53.34603331,0.663098253,26.78267155,12.66398159,45.12856806,57.19827586,Yes,7.871061287,0.57785179
MAGEB17,MAGEB17,5.55989E-06,1,-0.056655605,53.35217846,-0.874993707,89.81773119,28.30264672,-,95.8674569,No,2.869089188,0.338360129
SAMD9,SAMD9,2.49231E-05,6,-0.056581072,53.3583236,-0.199062433,58.81138018,96.27733026,92.11488559,76.34698276,Yes,4.273183419,0.577541648
MCCC2,MCCC2,3.26669E-05,8,-0.056468187,53.36446875,-0.417783017,71.11065214,14.93095512,37.4321774,39.08943966,Yes,5.729171248,0.579594412
VAMP8,VAMP8,9.42715E-06,2,-0.056335469,53.3706139,0.547375202,29.84458099,54.93670886,64.11299835,24.71443966,Yes,7.130201767,0.521436541
PRSS53,PRSS53,9.42598E-06,2,-0.056269178,53.37675905,0.336578549,35.5398358,65.70771001,15.20405756,48.46982759,Yes,8.164317211,0.380457516
ARSH,ARSH,5.5505E-06,1,-0.056123569,53.3829042,-0.625427778,81.00893272,95.93210587,95.12267044,90.11853448,Yes,2.764228395,0.505185185
PAMR1,PAMR1,1.32923E-05,3,-0.055895933,53.38904935,0.233405141,39.02514587,55.94936709,21.83887709,38.43211207,Yes,8.68352282,0.780977995
TROAP,TROAP,9.41864E-06,2,-0.055853299,53.39519449,0.818227546,23.30252491,18.94131185,67.49823071,78.59375,Yes,10.13970183,0.507598152
MRPL24,MRPL24,9.41599E-06,2,-0.055703152,53.40133964,-0.616623661,80.64232974,40.88032221,79.88912479,29.68211207,Yes,8.666186192,0.44152381
OR56B4,OR56B4,5.53905E-06,1,-0.055474813,53.40748479,-0.522783594,76.39283317,67.72727273,60.31493277,85.25323276,Yes,2.638099696,0.376210046
FAHD2B,FAHD2B,9.41181E-06,2,-0.055466316,53.41362994,-0.083248494,52.5223318,64.48791715,71.26680821,89.82758621,Yes,4.973663764,0.49118068
KLHL38,KLHL38,5.53841E-06,1,-0.055438551,53.41977509,-0.615883714,80.6113492,98.81472957,80.37272942,51.90732759,Yes,6.063804288,0.495726141
COMMD9,COMMD9,2.10288E-05,5,-0.055368584,53.42592024,-0.919002409,91.01048175,45.28193326,64.31941496,28.33512931,Yes,6.48241846,0.430351506
TPP2,TPP2,9.40977E-06,2,-0.055350731,53.43206538,1.609268267,11.01874322,3.791714614,6.269167256,13.89008621,Yes,12.86241452,0.559859485
DENND1A,DENND1A,2.48981E-05,6,-0.055164614,53.43821053,0.059754104,45.55171167,3.383199079,3.862939372,40.96443966,Yes,9.045943396,0.632726864
TNK2,TNK2,1.71497E-05,4,-0.055017441,53.44435568,0.14273755,42.03542108,13.58457998,14.28402925,37.48922414,Yes,8.517363962,0.553907285
SF3B4,SF3B4,1.71444E-05,4,-0.054717151,53.45050083,-0.672062775,82.85227449,22.41657077,32.61972163,25.42025862,Yes,8.220376894,0.525369318
ARAP3,ARAP3,9.39551E-06,2,-0.05454277,53.45664598,0.79962974,23.64847421,27.91139241,14.40787922,38.23814655,Yes,7.118754936,0.402446809
ZNF343,ZNF343,2.87596E-05,7,-0.054518848,53.46279113,-0.662003598,82.40822017,71.23130035,83.53385232,94.10560345,Yes,5.927002727,0.468991323
KDM5B,KDM5B,3.26307E-05,8,-0.05441714,53.46893627,0.74479535,24.78442712,3.429228999,2.476999292,22.83943966,Yes,8.324514704,0.548799606
ZNF613,ZNF613,1.71295E-05,4,-0.053872939,53.47508142,-0.594974471,79.65611607,72.0310702,63.48785091,86.52478448,Yes,5.456694192,0.356675603
ENTHD1,ENTHD1,1.32546E-05,3,-0.053759895,53.48122657,-0.042980889,50.46728972,51.46144994,42.16206653,72.86637931,Yes,6.137710542,0.528194981
ASPM,ASPM,1.32513E-05,3,-0.053572921,53.48737172,-1.213244134,96.43207518,6.375143843,96.74451522,75.65732759,Yes,7.598067716,0.440658083
C22orf26,C22orf26,3.26156E-05,8,-0.053561593,53.49351687,-0.500994504,75.2672071,-,-,86.38469828,No,3.495958554,0.606534392
SAV1,SAV1,2.09964E-05,5,-0.053532853,53.49966202,0.932133904,21.06676305,31.07594937,32.93819297,5.328663793,Yes,8.146137073,0.513940658
SBSPON,SBSPON,3.26143E-05,8,-0.053487937,53.50580717,0.171742449,41.15763928,69.12543153,86.08162302,38.73383621,Yes,6.206606909,0.712832103
S100A1,S100A1,5.50366E-06,1,-0.05346962,53.51195231,0.750957101,24.66050498,55.82853855,46.20193442,20.02155172,Yes,10.02686547,0.415919118
USP54,USP54,1.71209E-05,4,-0.053385676,53.51809746,1.342926796,14.25104559,21.98504028,91.37768342,21.92887931,Yes,13.31912981,0.427167955
CAMK2A,CAMK2A,5.49694E-06,1,-0.053088866,53.52424261,2.779770632,2.700469871,12.75028769,20.26421326,5.05387931,Yes,8.926609665,0.546877323
LMF1,LMF1,1.71143E-05,4,-0.05301173,53.53038776,-0.720553514,84.66979914,92.57767549,93.26492097,75.44181034,Yes,3.474644311,0.714436801
THAP3,THAP3,1.32391E-05,3,-0.052881683,53.53653291,-0.672733928,82.86260133,88.5443038,90.86459071,83.20043103,Yes,5.216408445,0.44950303
FBXO31,FBXO31,6.74592E-05,17,-0.052861849,53.54267806,-0.814472537,87.88144782,11.36363636,11.76574664,56.02909483,Yes,4.042830702,0.265028509
LMO7,LMO7,1.32378E-05,3,-0.052808027,53.5488232,2.771775098,2.736613828,98.49827388,78.8039632,44.1325431,Yes,9.111275657,0.627574215
FBXO24,FBXO24,5.48892E-06,1,-0.052634453,53.55496835,0.967810695,20.37486446,58.75143843,18.7839113,37.31681034,Yes,8.042319328,0.525210084
HSD17B3,HSD17B3,5.48736E-06,1,-0.052546064,53.5611135,-1.107898301,94.99664378,63.50978136,42.05590941,75.28017241,Yes,6.331280506,0.478482143
IL12RB2,IL12RB2,2.09781E-05,5,-0.052496004,53.56725865,-0.674567992,82.94521609,59.51093211,90.18636471,80.51724138,Yes,4.369440778,0.58942273
CFHR1,CFHR1,5.48614E-06,1,-0.052476939,53.5734038,-0.797508084,87.38575928,65.61565017,87.06062751,95.32327586,Yes,2.964473919,0.377767176
C9orf129,C9orf129,1.71044E-05,4,-0.05245081,53.57954895,-0.007915513,48.61362111,65.90909091,84.35362114,91.25538793,Yes,4.922363,0.599695431
MGAM,MGAM,1.32291E-05,3,-0.052315095,53.58569409,-0.492419115,74.81798936,94.81012658,98.44892663,67.1174569,Yes,7.154194932,0.558688388
CENPJ,CENPJ,1.32252E-05,3,-0.052094125,53.59183924,-0.362526094,68.00743533,84.15995397,88.12809625,60.49030172,Yes,7.018552083,0.469785156
PMP22,PMP22,2.48434E-05,6,-0.052065402,53.59798439,2.00129943,7.213300976,44.21749137,71.07808445,52.89331897,Yes,10.07569304,0.68004522
MAMSTR,MAMSTR,1.32241E-05,3,-0.052031801,53.61027469,-0.102293106,53.4930552,55.96662831,37.11370606,77.60237069,Yes,7.400424351,0.453541667
RINT1,RINT1,1.32241E-05,3,-0.052031801,53.61027469,-0.152257485,56.25548614,61.73187572,32.14791224,30.94288793,Yes,7.761935152,0.439833926
CALHM3,CALHM3,1.32238E-05,3,-0.052014803,53.61641984,-0.464748957,73.48582641,72.84810127,49.38664779,48.24353448,Yes,6.078545384,0.732236385
TSPAN13,TSPAN13,2.09691E-05,5,-0.051986079,53.62256498,1.036877205,19.20793102,43.141542,42.87567823,22.33297414,Yes,8.667031323,0.690858469
THEM6,THEM6,2.09682E-05,5,-0.051935087,53.62871013,-0.85757017,89.26008158,-,-,73.72844828,No,5.096701278,0.464036209
EXOC3L4,EXOC3L4,5.47648E-06,1,-0.051929605,53.63485528,-0.829001243,88.39262663,84.09090909,-,84.34267241,No,5.502426126,0.610405405
MSRB1,MSRB1,2.09674E-05,5,-0.05188976,53.64100043,-1.130885573,95.33742965,48.44073648,58.26256192,65.21012931,Yes,5.737538442,0.59400607
RAD51AP2,RAD51AP2,5.47551E-06,1,-0.051874644,53.64714558,-0.934501143,91.42871895,98.38319908,93.91365888,88.0549569,Yes,6.98510068,0.530918367
ZNF814,ZNF814,1.32126E-05,3,-0.051380224,53.65329073,-0.484050449,74.43589611,9.539700806,32.93819297,98.73383621,Yes,5.087713997,0.547706311
PET112,PET112,1.32092E-05,3,-0.051187584,53.65943588,-1.142825153,95.51298601,42.54315305,74.66383581,45.94288793,Yes,5.128083246,0.588505747
MRPL15,MRPL15,9.33476E-06,2,-0.051100718,53.66558102,-1.026952171,93.46310735,33.90103567,71.40835103,39.04633621,Yes,8.251179947,0.532988048
C10orf129,C10orf129,5.45968E-06,1,-0.050977718,53.67172617,-0.230126913,60.61857799,86.44418872,85.03774475,92.93103448,Yes,4.483735922,0.431955645
HIST1H4G,HIST1H4G,5.45903E-06,1,-0.050940889,53.67787132,-1.515594241,98.703981,72.45109321,64.11299835,78.39439655,Yes,4.423068111,0.151145511
ZNF226,ZNF226,9.3269E-06,2,-0.050655376,53.68401647,-0.405314695,70.40326328,32.33601841,25.82566643,82.08512931,Yes,6.549969453,0.331655172
CTRB2,CTRB2,5.45284E-06,1,-0.050590165,53.69016162,-0.92793493,91.26348944,60.86881473,-,74.52047414,No,6.301913615,0.449943662
PSMD1,PSMD1,9.32319E-06,2,-0.05044517,53.69630677,1.010743032,19.67263903,6.260069045,27.88393489,3.448275862,Yes,10.43009953,0.547795164
KRT9,KRT9,9.31906E-06,2,-0.050211167,53.70245191,0.340157156,35.4468942,13.55581128,5.832743572,86.99353448,Yes,9.609126576,0.585714286
NAALAD2,NAALAD2,2.09374E-05,5,-0.050190009,53.70859706,-0.550097648,77.68885217,93.44649022,59.0351498,35.83512931,Yes,5.049501746,0.648287123
CYTH2,CYTH2,1.70636E-05,4,-0.050139142,53.71474221,1.270018029,15.33020086,18.60759494,16.35999056,37.15517241,Yes,10.01498359,0.541319911
ALDH18A1,ALDH18A1,2.09359E-05,5,-0.050105021,53.72088736,0.055204893,45.75824857,50.42002301,9.613116301,15.85668103,Yes,9.328743441,0.660533446
FAM110D,FAM110D,1.31893E-05,3,-0.050060073,53.72703251,0.353439319,35.05963753,-,-,60.30172414,No,9.221087701,0.579292237
ABCG8,ABCG8,1.31889E-05,3,-0.050037409,53.73317766,0.015834061,47.45701451,91.49597238,86.37650389,66.32543103,Yes,8.210107237,0.605399325
S100G,S100G,5.44059E-06,1,-0.049896081,53.7393228,0.796314937,23.68461816,60.29919448,63.81221986,55.87284483,Yes,10.0852632,0.357692308
ARHGEF7,ARHGEF7,3.64235E-05,9,-0.049879159,53.74546795,0.168609756,41.27123457,5.235903337,7.802547771,43.46443966,Yes,5.789095862,0.494998511
PABPC1L,PABPC1L,5.43443E-06,1,-0.049547056,53.7516131,-0.368272779,68.3482212,50.67894131,59.0351498,43.21659483,Yes,9.543713208,0.448136882
MTRNR2L2,MTRNR2L2,1.70509E-05,4,-0.049419579,53.75775825,-,-,61.15650173,-,-,No,-,-
PPAP2B,PPAP2B,3.64147E-05,9,-0.049380558,53.7639034,1.816943909,8.865596117,34.14844649,26.23260203,23.04418103,Yes,8.546724315,0.633843198
UGT1A10,UGT1A10,1.31767E-05,3,-0.049346172,53.77004855,-1.142011263,95.4871689,45.51783659,22.75300778,78.42672414,Yes,6.151210493,0.551385485
KEAP1,KEAP1,2.47954E-05,6,-0.049345802,53.7761937,-0.537603235,77.0950586,4.752589183,6.434300543,34.48275862,Yes,7.33491629,0.56824356
TFIP11,TFIP11,1.70483E-05,4,-0.049272267,53.78233884,-1.476969131,98.49228068,5.230149597,3.42061807,38.20581897,Yes,6.298508756,0.475845272
HIBCH,HIBCH,1.70481E-05,4,-0.049260935,53.78848399,-0.633298143,81.31873806,92.79056387,86.56522765,50.31788793,Yes,6.74075944,0.434228516
GPR116,GPR116,2.47935E-05,6,-0.049238151,53.79462914,0.190951022,40.57417256,83.66513234,13.80042463,66.84806034,Yes,7.994911166,0.682162569
B4GALT2,B4GALT2,5.42854E-06,1,-0.049213329,53.80077429,0.892161854,21.78964217,44.40161105,29.16371786,24.31034483,Yes,8.261679912,0.464072848
VSIG10L,VSIG10L,1.3173E-05,3,-0.049136534,53.80691944,-0.59628563,79.73873083,80.35097814,-,86.57327586,No,4.931474495,0.645495669
COL6A1,COL6A1,1.7044E-05,4,-0.049028635,53.81306459,-1.24395503,96.76769763,14.66628308,3.621137061,63.23275862,Yes,4.691617037,0.695490336
PPP4R2,PPP4R2,4.02788E-05,10,-0.048882458,53.81920973,2.640714857,3.268446326,32.30149597,68.27081859,26.43857759,Yes,11.44725629,0.607952716
CALR3,CALR3,9.29556E-06,2,-0.048879674,53.82535488,-1.175859817,95.94155006,57.74453395,64.73814579,72.79094828,Yes,9.237078329,0.383002611
CPA6,CPA6,9.29456E-06,2,-0.048823014,53.83150003,0.735636053,24.98580059,87.0023015,86.27034678,20.48491379,Yes,8.392825557,0.666204288
C2CD4B,C2CD4B,1.31671E-05,3,-0.048802247,53.83764518,-0.97716586,92.47689369,-,-,87.10668103,No,8.194054338,0.671560694
INSL3,INSL3,9.29222E-06,2,-0.048690431,53.84379033,-0.432852018,71.84902153,68.29113924,-,92.35452586,No,4.751445464,0.505718654
MYT1,MYT1,3.64017E-05,9,-0.048643989,53.84993548,1.68309143,10.12030774,4.372842348,2.848549186,44.54741379,Yes,7.567801242,0.637824773
PDAP1,PDAP1,3.2525E-05,8,-0.048428312,53.85608062,0.412305463,33.38152527,44.33256617,31.45789101,24.6012931,Yes,7.748987088,0.443259127
RGS20,RGS20,1.316E-05,3,-0.048399969,53.86222577,0.361247282,34.81179326,21.87571922,38.57631517,74.39116379,Yes,7.239845309,0.556542688
PPT1,PPT1,2.86506E-05,7,-0.048343075,53.86837092,-0.139274197,55.59456808,79.84464902,41.90846898,36.97198276,Yes,6.737083777,0.564208232
S100A12,S100A12,5.4082E-06,1,-0.048060867,53.87451607,-0.511916402,75.82485672,58.04948216,51.03798066,94.87068966,Yes,6.219954451,0.600860215
MYL3,MYL3,9.28009E-06,2,-0.048003154,53.88066122,0.460521612,32.09583312,44.7986191,27.41802312,53.58836207,Yes,9.469386567,0.575462687
BTBD17,BTBD17,9.2772E-06,2,-0.047839409,53.88680637,0.216842997,39.5414881,-,-,40.59806034,No,9.242878936,0.733273616
ERVV-1,ERVV-1,1.315E-05,3,-0.04783338,53.89295151,-0.131602978,55.12986007,59.13693901,-,93.14116379,No,1.459962853,0.172810651
FCGR1B,FCGR1B,5.40401E-06,1,-0.047823462,53.89909666,-0.104498655,53.61181391,40.85155351,-,89.4612069,No,7.014373602,0.479888143
SUN1,SUN1,2.47682E-05,6,-0.047804695,53.90524181,-0.279525399,63.17963546,76.6570771,88.13989148,85.3825431,Yes,5.107585027,0.429006041
C12orf10,C12orf10,5.40198E-06,1,-0.047708442,53.91138696,-0.813459804,87.83497702,90.94936709,87.17857985,55.01616379,Yes,7.874652552,0.387003257
CLDN14,CLDN14,2.08928E-05,5,-0.047663046,53.91753211,-0.748690681,85.67666649,61.84695052,17.91106393,35.77586207,Yes,5.838480245,0.545996664
COX6C,COX6C,1.70163E-05,4,-0.047459193,53.92367726,-0.231915049,60.75282697,56.86996548,65.33380514,51.61099138,Yes,7.084838411,0.370307263
SBSN,SBSN,5.39642E-06,1,-0.047393413,53.92982241,1.077642536,18.45923478,93.49252014,97.66454352,84.39655172,Yes,6.887412281,0.627799043
CHRNA1,CHRNA1,9.26876E-06,2,-0.047361204,53.93596755,0.029792638,46.83224041,45.3739931,30.70299599,19.23491379,Yes,8.238335478,0.578185328
AARS2,AARS2,1.70138E-05,4,-0.047317547,53.9421127,-0.363066944,68.04357928,84.48216341,92.37438075,46.38469828,Yes,5.957362814,0.439824869
MRM1,MRM1,2.0885E-05,5,-0.047221111,53.94825785,-0.925102013,91.16538442,51.51898734,68.27081859,69.52047414,Yes,6.839590778,0.606195965
SYBU,SYBU,2.08824E-05,5,-0.047073799,53.954403,1.441542246,13.04796819,28.21058688,39.11299835,50.64116379,Yes,8.439181982,0.649894737
SNAP25,SNAP25,1.70027E-05,4,-0.046688637,53.96054815,3.471242612,0.753859658,36.06444189,52.8544468,0.010775862,Yes,9.584218514,0.567254174
PTCHD2,PTCHD2,1.70023E-05,4,-0.046665974,53.9666933,-0.22119918,60.07641865,89.17146145,35.00235905,32.8825431,Yes,7.971089704,0.636252927
SOCS2,SOCS2,3.2491E-05,8,-0.046501915,53.97283844,1.091578502,18.12877575,67.76179517,66.57230479,14.15409483,Yes,9.727178562,0.554743065
ZNF181,ZNF181,5.37607E-06,1,-0.046240383,53.97898359,-0.310459323,64.94552589,75.82278481,67.19155461,77.05280172,Yes,5.804618711,0.414599057
CYP51A1,CYP51A1,2.8612E-05,7,-0.046156058,53.98512874,-0.17924891,57.75804203,20.64441887,26.7338995,29.78987069,Yes,5.83821253,0.58788162
TBC1D21,TBC1D21,5.37449E-06,1,-0.046150861,53.99127389,-0.34606129,66.96958744,62.0023015,43.77211607,42.65625,Yes,4.919294118,0.511266968
C9orf117,C9orf117,5.37354E-06,1,-0.046097034,53.99741904,0.299406114,36.78422058,42.22094361,43.90776126,76.07219828,Yes,6.601018152,0.42789604
NXPE2,NXPE2,5.37139E-06,1,-0.045975215,54.00356419,-0.469335877,73.6923633,75.10356732,95.05779665,79.00323276,Yes,7.748876234,0.482892938
GSTM5,GSTM5,1.69857E-05,4,-0.045725442,54.00970933,-1.876120839,99.58176279,83.16455696,89.4373673,74.32112069,Yes,5.18197873,0.422255245
C3orf79,C3orf79,5.36658E-06,1,-0.045702681,54.01585448,-0.788735832,87.10177105,86.52474108,81.11582921,94.64978448,Yes,4.646132569,0.358260038
UCMA,UCMA,9.23689E-06,2,-0.045555472,54.02199963,-0.377116183,68.84390974,48.7456847,93.67775419,65.03232759,Yes,7.542946056,0.73140458
PPP2CB,PPP2CB,1.31093E-05,3,-0.045527365,54.02814478,1.32576788,14.49372644,36.63406214,39.67916962,25.31788793,Yes,10.26665406,0.366649017
KLHL26,KLHL26,2.08499E-05,5,-0.045232402,54.03428993,-1.093755844,94.75396293,4.326812428,2.783675395,55.65193966,Yes,6.903318029,0.552188679
PCDHB11,PCDHB11,1.6976E-05,4,-0.045175854,54.04043508,-0.532176524,76.79041669,78.16455696,90.79971691,91.51939655,Yes,2.821409617,0.551959038
LPIN1,LPIN1,5.3559E-06,1,-0.045097553,54.04658022,-0.373200253,68.61671916,77.41081703,5.862231658,64.56357759,Yes,11.07054515,0.524025316
GGCX,GGCX,1.69746E-05,4,-0.045096532,54.05272537,-0.227705581,60.48949244,26.01841197,14.77942911,21.55172414,Yes,4.914486706,0.374214945
SDAD1,SDAD1,1.69739E-05,4,-0.045056871,54.05887052,-0.039457939,50.27624309,89.20598389,50.49539986,26.97198276,Yes,6.674401446,0.481075897
MYO15A,MYO15A,2.08443E-05,5,-0.044915115,54.06501567,-0.019965302,49.22806836,0.563866513,5.349138948,63.51831897,Yes,7.234507696,0.498518253
SIX3,SIX3,2.85856E-05,7,-0.044660275,54.07116082,2.758855387,2.793411473,-,58.26256192,56.48706897,No,14.21077393,0.647559055
WDR34,WDR34,9.21718E-06,2,-0.044438716,54.07730597,-0.874218974,89.80740435,12.29574223,15.91177164,58.38900862,Yes,9.252274359,0.440307692
ASNSD1,ASNSD1,1.30869E-05,3,-0.044258206,54.08345112,0.426265969,32.95812465,16.58803222,68.44184949,64.73599138,Yes,8.381983857,0.444393382
CMYA5,CMYA5,9.21278E-06,2,-0.044189415,54.08959626,0.129975176,42.56725358,99.95972382,99.97051191,78.63685345,Yes,8.230302001,0.567701019
MYO7B,MYO7B,9.20973E-06,2,-0.044016604,54.09574141,-0.44114619,72.24144163,16.89298044,90.92356688,59.81142241,Yes,6.960461202,0.521256367
GCET2,GCSAM,9.20643E-06,2,-0.043829629,54.10188656,-0.54720954,77.54427635,50.72497123,24.00330267,89.63362069,No,6.069586829,0.555155616
GUCA1B,GUCA1B,9.2061E-06,2,-0.043810931,54.10803171,-0.518750833,76.17596943,68.716916,56.92380278,49.33189655,Yes,6.125690035,0.500383598
AP1M2,AP1M2,1.30779E-05,3,-0.043748277,54.11417686,-0.223492813,60.23132132,16.16800921,10.72776598,41.70797414,Yes,6.172355924,0.639723375
FAM166A,FAM166A,5.33082E-06,1,-0.043676522,54.12032201,0.117218678,43.05261527,87.01380898,30.86223166,74.18103448,Yes,4.556205929,0.478317308
MBOAT4,MBOAT4,5.3291E-06,1,-0.043579067,54.12646715,0.210212956,39.78933237,91.83544304,93.29440906,77.14978448,Yes,6.472651852,0.491466667
HIST1H2BK,HIST1H2BK,9.19271E-06,2,-0.043052263,54.1326123,-0.723469927,84.7524139,41.89873418,26.23260203,43.28663793,Yes,4.893284185,0.510029499
DESI1,DESI1,5.17937E-05,13,-0.043003172,54.13875745,0.64304491,27.24221614,46.61680092,44.53880632,3.415948276,Yes,8.993321575,0.42868701
DECR1,DECR1,9.19178E-06,2,-0.04299957,54.1449026,-1.127852252,95.280632,35.21864212,51.65723048,40.78125,Yes,6.627062172,0.523146067
CMPK1,CMPK1,2.46827E-05,6,-0.042960407,54.15104775,1.34811454,14.12712346,74.11967779,74.95281906,13.08728448,Yes,8.977216017,0.700281237
VN1R1,VN1R1,5.31809E-06,1,-0.042955241,54.1571929,-1.466355734,98.45097331,81.86996548,69.20853975,99.94612069,Yes,4.249192488,0.332977867
NAP1L5,NAP1L5,2.85531E-05,7,-0.042818875,54.16333804,0.259107486,38.18867145,38.38895282,31.45789101,86.84806034,Yes,8.896739676,0.480059465
ZNF791,ZNF791,4.40423E-05,11,-0.042684439,54.16948319,-0.144301698,55.86306604,18.41196778,17.03231894,89.9137931,Yes,3.505576184,0.363146693
BAIAP2L2,BAIAP2L2,1.30588E-05,3,-0.042666092,54.17562834,-0.023514102,49.41395157,43.53279632,24.19202642,55.47952586,Yes,6.664697423,0.614638404
IL1R2,IL1R2,9.18382E-06,2,-0.042548561,54.18177349,-0.114645391,54.15397325,24.01035673,14.5730125,87.19827586,Yes,7.96774588,0.604823944
C5orf64,C5orf64,3.24208E-05,8,-0.042524474,54.18791864,0.822527729,23.20441989,85.52934407,84.93158764,86.95043103,Yes,7.674981108,0.548109756
C3orf33,C3orf33,2.08019E-05,5,-0.0425128,54.19406379,-0.053260902,51.10239066,93.99884925,81.38122199,60.89439655,Yes,5.110190711,0.568165496
ATP6V0D1,ATP6V0D1,1.69289E-05,4,-0.042507237,54.20020894,0.447303437,32.48825321,19.78711162,28.6329323,14.86530172,Yes,10.90300147,0.56816777
EFNA5,EFNA5,5.56572E-05,14,-0.042471419,54.20635408,2.771596161,2.74177725,37.85960875,41.24793583,0.581896552,Yes,8.794623144,0.682505108
IFIH1,IFIH1,9.18198E-06,2,-0.042444308,54.21249923,-1.366030026,97.85717974,83.59608746,90.19815994,46.28771552,Yes,8.075629969,0.558296199
OR10H1,OR10H1,5.3084E-06,1,-0.042406206,54.21864438,-0.573622108,78.79382455,60.07479862,82.1656051,74.375,Yes,3.304288509,0.198239609
CACNB2,CACNB2,1.69269E-05,4,-0.04239392,54.22478953,2.357431723,4.652243507,51.02416571,14.77942911,17.72090517,Yes,11.75840238,0.6527677
DDX26B,DDX26B,1.69241E-05,4,-0.042235276,54.23093468,1.983127541,7.373367068,10.09205984,48.69072895,16.72413793,Yes,12.76609888,0.593585685
HOXC8,HOXC8,2.85424E-05,7,-0.04221263,54.23707983,1.527299879,11.99463004,30.58112773,35.42108988,12.96336207,Yes,10.28111369,0.51057133
ARHGAP20,ARHGAP20,3.2414E-05,8,-0.042139195,54.24322497,0.430106908,32.8548562,32.76179517,27.05237084,67.73706897,Yes,7.728451673,0.713593637
C19orf43,C19orf43,1.30495E-05,3,-0.042139165,54.24937012,1.261898099,15.42830588,-,-,28.41594828,No,8.828998054,0.484321168
JAM2,JAM2,1.3048E-05,3,-0.042054177,54.25551527,-0.251495865,61.88877988,63.32566168,80.73248408,54.6875,Yes,8.875715539,0.538449248
NPTX2,NPTX2,1.69204E-05,4,-0.042025639,54.26166042,0.044230984,46.19713946,-,-,35.80280172,No,10.00322525,0.755678788
LRRC38,LRRC38,1.69162E-05,4,-0.041787673,54.26780557,-0.674388664,82.92972582,-,-,42.49461207,No,7.535979406,0.60844586
