Chromosome/scaffold name	Start (bp)	End (bp)	Feature type	Feature type class
9	82266019	82266625	DNase1	Open Chromatin
9	82316547	82317075	DNase1	Open Chromatin
9	82483513	82484232	DNase1	Open Chromatin
9	82493075	82493837	DNase1	Open Chromatin
9	84303635	84304125	DNase1	Open Chromatin
9	84304308	84305133	DNase1	Open Chromatin
9	85834583	85834944	DNase1	Open Chromatin
9	85854080	85854530	DNase1	Open Chromatin
9	85949202	85949564	DNase1	Open Chromatin
9	86021797	86022220	DNase1	Open Chromatin
9	86086066	86086584	DNase1	Open Chromatin
9	86087566	86088066	DNase1	Open Chromatin
9	86123005	86123349	DNase1	Open Chromatin
9	86125895	86126415	DNase1	Open Chromatin
9	86153060	86153932	DNase1	Open Chromatin
9	86322076	86324045	DNase1	Open Chromatin
9	86432242	86433059	DNase1	Open Chromatin
9	8649135	8649629	DNase1	Open Chromatin
9	86527117	86527422	DNase1	Open Chromatin
9	86535617	86537018	DNase1	Open Chromatin
9	86552824	86553119	DNase1	Open Chromatin
9	86570951	86572090	DNase1	Open Chromatin
9	86594320	86596010	DNase1	Open Chromatin
9	86596270	86596813	DNase1	Open Chromatin
9	8660473	8660827	DNase1	Open Chromatin
9	86616510	86616896	DNase1	Open Chromatin
9	86908064	86908823	DNase1	Open Chromatin
9	86911295	86911743	DNase1	Open Chromatin
9	86916559	86917412	DNase1	Open Chromatin
9	86930232	86930518	DNase1	Open Chromatin
9	86983455	86983971	DNase1	Open Chromatin
9	86986626	86987143	DNase1	Open Chromatin
9	88137341	88137753	DNase1	Open Chromatin
9	88330465	88330957	DNase1	Open Chromatin
9	88344750	88345236	DNase1	Open Chromatin
9	88355714	88357961	DNase1	Open Chromatin
9	88358082	88359039	DNase1	Open Chromatin
9	88419905	88420705	DNase1	Open Chromatin
9	88555527	88556601	DNase1	Open Chromatin
9	88684083	88684551	DNase1	Open Chromatin
9	88721763	88722092	DNase1	Open Chromatin
9	88896930	88898258	DNase1	Open Chromatin
9	88963372	88963842	DNase1	Open Chromatin
9	88965324	88965713	DNase1	Open Chromatin
9	88968817	88969949	DNase1	Open Chromatin
9	88974118	88974807	DNase1	Open Chromatin
9	88983887	88984539	DNase1	Open Chromatin
9	89100304	89100688	DNase1	Open Chromatin
9	89378669	89379549	DNase1	Open Chromatin
9	89381479	89382542	DNase1	Open Chromatin
9	893816	894253	DNase1	Open Chromatin
9	89398788	89399156	DNase1	Open Chromatin
9	899411	899976	DNase1	Open Chromatin
9	89997766	89998156	DNase1	Open Chromatin
9	90020545	90021114	DNase1	Open Chromatin
9	90021395	90021889	DNase1	Open Chromatin
9	90039859	90040592	DNase1	Open Chromatin
9	90060590	90060898	DNase1	Open Chromatin
9	90094567	90095162	DNase1	Open Chromatin
9	90108401	90108752	DNase1	Open Chromatin
9	90112320	90112956	DNase1	Open Chromatin
9	90117199	90118083	DNase1	Open Chromatin
9	90131050	90131842	DNase1	Open Chromatin
9	90133732	90134094	DNase1	Open Chromatin
9	90169176	90170457	DNase1	Open Chromatin
9	90171777	90172216	DNase1	Open Chromatin
9	90175082	90175722	DNase1	Open Chromatin
9	90178973	90179364	DNase1	Open Chromatin
9	90208354	90208709	DNase1	Open Chromatin
9	90216089	90216804	DNase1	Open Chromatin
9	90222566	90223200	DNase1	Open Chromatin
9	90226623	90227192	DNase1	Open Chromatin
9	90228499	90228938	DNase1	Open Chromatin
9	90229188	90229780	DNase1	Open Chromatin
9	90326717	90327176	DNase1	Open Chromatin
9	90328091	90328967	DNase1	Open Chromatin
9	90329742	90330060	DNase1	Open Chromatin
9	90337189	90338008	DNase1	Open Chromatin
9	90340709	90341652	DNase1	Open Chromatin
9	90407566	90408769	DNase1	Open Chromatin
9	90411196	90411610	DNase1	Open Chromatin
9	90455070	90455418	DNase1	Open Chromatin
9	90588737	90589997	DNase1	Open Chromatin
9	91003140	91003823	DNase1	Open Chromatin
9	91003862	91004388	DNase1	Open Chromatin
9	91152622	91153064	DNase1	Open Chromatin
9	91450141	91450449	DNase1	Open Chromatin
9	91538447	91539415	DNase1	Open Chromatin
9	91541974	91542879	DNase1	Open Chromatin
9	91550936	91551459	DNase1	Open Chromatin
9	91551478	91552043	DNase1	Open Chromatin
9	91603958	91604545	DNase1	Open Chromatin
9	91615841	91616276	DNase1	Open Chromatin
9	91623566	91624049	DNase1	Open Chromatin
9	91651186	91652207	DNase1	Open Chromatin
9	91768439	91768924	DNase1	Open Chromatin
9	91769506	91769945	DNase1	Open Chromatin
9	91925125	91926305	DNase1	Open Chromatin
9	91933046	91934105	DNase1	Open Chromatin
9	91994445	91994979	DNase1	Open Chromatin
9	92002916	92003631	DNase1	Open Chromatin
9	92015285	92015899	DNase1	Open Chromatin
9	92020699	92021154	DNase1	Open Chromatin
9	92036532	92037918	DNase1	Open Chromatin
9	92055112	92056088	DNase1	Open Chromatin
9	92057401	92058331	DNase1	Open Chromatin
9	92071622	92072194	DNase1	Open Chromatin
9	92078726	92079215	DNase1	Open Chromatin
9	92112887	92113533	DNase1	Open Chromatin
9	92136848	92137993	DNase1	Open Chromatin
9	92140575	92141081	DNase1	Open Chromatin
9	92141763	92142481	DNase1	Open Chromatin
9	92143515	92143886	DNase1	Open Chromatin
9	92147394	92147777	DNase1	Open Chromatin
9	92150944	92151497	DNase1	Open Chromatin
9	92163945	92164342	DNase1	Open Chromatin
9	92171077	92172101	DNase1	Open Chromatin
9	92217942	92218515	DNase1	Open Chromatin
9	92219578	92220090	DNase1	Open Chromatin
9	92220212	92221474	DNase1	Open Chromatin
9	92274937	92275576	DNase1	Open Chromatin
9	92276812	92277247	DNase1	Open Chromatin
9	92316210	92316641	DNase1	Open Chromatin
9	92483257	92483748	DNase1	Open Chromatin
9	92488098	92488514	DNase1	Open Chromatin
9	92756208	92756821	DNase1	Open Chromatin
9	92848356	92848747	DNase1	Open Chromatin
9	92864518	92864915	DNase1	Open Chromatin
9	93464787	93465163	DNase1	Open Chromatin
9	93518039	93518438	DNase1	Open Chromatin
9	93532456	93533072	DNase1	Open Chromatin
9	93536962	93537335	DNase1	Open Chromatin
9	93555929	93556339	DNase1	Open Chromatin
9	93557970	93558727	DNase1	Open Chromatin
9	93561691	93562201	DNase1	Open Chromatin
9	93563778	93564290	DNase1	Open Chromatin
9	93564803	93565252	DNase1	Open Chromatin
9	93571083	93571590	DNase1	Open Chromatin
9	93577552	93578060	DNase1	Open Chromatin
9	93589392	93589942	DNase1	Open Chromatin
9	93623027	93623558	DNase1	Open Chromatin
9	93677152	93677530	DNase1	Open Chromatin
9	93799407	93799852	DNase1	Open Chromatin
9	93822727	93823082	DNase1	Open Chromatin
9	93847355	93848444	DNase1	Open Chromatin
9	93862222	93863317	DNase1	Open Chromatin
9	93880185	93880784	DNase1	Open Chromatin
9	93893785	93894249	DNase1	Open Chromatin
9	93908677	93909314	DNase1	Open Chromatin
9	93909764	93910439	DNase1	Open Chromatin
9	93912943	93913838	DNase1	Open Chromatin
9	93924441	93924984	DNase1	Open Chromatin
9	93925010	93925784	DNase1	Open Chromatin
9	93926082	93926584	DNase1	Open Chromatin
9	93926849	93927415	DNase1	Open Chromatin
9	93937087	93937416	DNase1	Open Chromatin
9	93948968	93949499	DNase1	Open Chromatin
9	93955097	93955797	DNase1	Open Chromatin
9	93955825	93956782	DNase1	Open Chromatin
9	93959333	93960525	DNase1	Open Chromatin
9	93962059	93962723	DNase1	Open Chromatin
9	93969927	93970729	DNase1	Open Chromatin
9	94020691	94021206	DNase1	Open Chromatin
9	94060436	94061022	DNase1	Open Chromatin
9	94065056	94065446	DNase1	Open Chromatin
9	94124013	94124478	DNase1	Open Chromatin
9	94157238	94157804	DNase1	Open Chromatin
9	94158003	94158714	DNase1	Open Chromatin
9	94173317	94173987	DNase1	Open Chromatin
9	94177634	94178032	DNase1	Open Chromatin
9	94178626	94178928	DNase1	Open Chromatin
9	94181452	94182574	DNase1	Open Chromatin
9	94185105	94187496	DNase1	Open Chromatin
9	94190182	94190495	DNase1	Open Chromatin
9	94265894	94266549	DNase1	Open Chromatin
9	94474236	94474648	DNase1	Open Chromatin
9	94877444	94878159	DNase1	Open Chromatin
9	94881862	94882755	DNase1	Open Chromatin
9	94896155	94896606	DNase1	Open Chromatin
9	94927787	94928165	DNase1	Open Chromatin
9	95055758	95056381	DNase1	Open Chromatin
9	95087295	95088776	DNase1	Open Chromatin
9	95168872	95169248	DNase1	Open Chromatin
9	95431641	95432962	DNase1	Open Chromatin
9	95525926	95526641	DNase1	Open Chromatin
9	95526766	95528021	DNase1	Open Chromatin
9	95531542	95532012	DNase1	Open Chromatin
9	95532705	95533139	DNase1	Open Chromatin
9	95542512	95542858	DNase1	Open Chromatin
9	95553043	95553415	DNase1	Open Chromatin
9	95571331	95571721	DNase1	Open Chromatin
9	95639874	95640653	DNase1	Open Chromatin
9	95719497	95719793	DNase1	Open Chromatin
9	95726117	95726963	DNase1	Open Chromatin
9	95790652	95791279	DNase1	Open Chromatin
9	95794245	95794791	DNase1	Open Chromatin
9	95799498	95800201	DNase1	Open Chromatin
9	95800683	95801005	DNase1	Open Chromatin
9	95805382	95805789	DNase1	Open Chromatin
9	95807780	95808183	DNase1	Open Chromatin
9	95826670	95827188	DNase1	Open Chromatin
9	95853698	95854345	DNase1	Open Chromatin
9	95856979	95859046	DNase1	Open Chromatin
9	95860461	95861366	DNase1	Open Chromatin
9	95871415	95872462	DNase1	Open Chromatin
9	95873902	95875345	DNase1	Open Chromatin
9	95875616	95876530	DNase1	Open Chromatin
9	95876635	95877436	DNase1	Open Chromatin
9	95877809	95879025	DNase1	Open Chromatin
9	95880875	95883097	DNase1	Open Chromatin
9	95891576	95892023	DNase1	Open Chromatin
9	95895662	95897244	DNase1	Open Chromatin
9	95908926	95909437	DNase1	Open Chromatin
9	95922272	95922610	DNase1	Open Chromatin
9	95993618	95994015	DNase1	Open Chromatin
9	96213170	96214179	DNase1	Open Chromatin
9	96215627	96216177	DNase1	Open Chromatin
9	96266987	96268238	DNase1	Open Chromatin
9	96274406	96274823	DNase1	Open Chromatin
9	96328624	96329504	DNase1	Open Chromatin
9	96337960	96338582	DNase1	Open Chromatin
9	96725257	96725599	DNase1	Open Chromatin
9	96792624	96793480	DNase1	Open Chromatin
9	96827777	96828126	DNase1	Open Chromatin
9	96928007	96929702	DNase1	Open Chromatin
9	96975769	96976164	DNase1	Open Chromatin
9	97021342	97021915	DNase1	Open Chromatin
9	97136409	97136988	DNase1	Open Chromatin
9	97137411	97137892	DNase1	Open Chromatin
9	97142345	97142795	DNase1	Open Chromatin
9	97385552	97385862	DNase1	Open Chromatin
9	97401347	97402390	DNase1	Open Chromatin
9	97405306	97405906	DNase1	Open Chromatin
9	97411304	97412073	DNase1	Open Chromatin
9	97414174	97414665	DNase1	Open Chromatin
9	97416368	97417226	DNase1	Open Chromatin
9	97418440	97418956	DNase1	Open Chromatin
9	97431137	97431541	DNase1	Open Chromatin
9	97488659	97489508	DNase1	Open Chromatin
9	97889920	97890234	DNase1	Open Chromatin
9	98079786	98080238	DNase1	Open Chromatin
9	98637214	98638609	DNase1	Open Chromatin
9	98742741	98743096	DNase1	Open Chromatin
9	98823455	98824714	DNase1	Open Chromatin
9	98901839	98902200	DNase1	Open Chromatin
9	98903921	98904440	DNase1	Open Chromatin
9	98905862	98906217	DNase1	Open Chromatin
9	98909237	98909762	DNase1	Open Chromatin
9	99179277	99179953	DNase1	Open Chromatin
9	99180528	99181871	DNase1	Open Chromatin
9	99182645	99183103	DNase1	Open Chromatin
9	99183224	99183610	DNase1	Open Chromatin
9	99211877	99212661	DNase1	Open Chromatin
9	99329048	99329571	DNase1	Open Chromatin
9	994050	994426	DNase1	Open Chromatin
9	99408459	99409201	DNase1	Open Chromatin
9	99416622	99417973	DNase1	Open Chromatin
9	99448927	99449387	DNase1	Open Chromatin
9	99540109	99540665	DNase1	Open Chromatin
9	99616613	99617063	DNase1	Open Chromatin
9	99769853	99770411	DNase1	Open Chromatin
9	99774832	99775309	DNase1	Open Chromatin
9	99775745	99776404	DNase1	Open Chromatin
9	99801267	99801738	DNase1	Open Chromatin
9	99804782	99805561	DNase1	Open Chromatin
9	998449	999123	DNase1	Open Chromatin
10	100019543	100020092	DNase1	Open Chromatin
10	100074272	100074764	DNase1	Open Chromatin
10	100076371	100076822	DNase1	Open Chromatin
10	100082783	100083440	DNase1	Open Chromatin
10	100205896	100207023	DNase1	Open Chromatin
10	100227244	100227599	DNase1	Open Chromatin
10	100646490	100646828	DNase1	Open Chromatin
10	101190288	101190825	DNase1	Open Chromatin
10	101292406	101292792	DNase1	Open Chromatin
10	101378799	101379273	DNase1	Open Chromatin
10	101380056	101381620	DNase1	Open Chromatin
10	101418867	101419379	DNase1	Open Chromatin
10	101444963	101445814	DNase1	Open Chromatin
10	101491704	101492671	DNase1	Open Chromatin
10	101535662	101536012	DNase1	Open Chromatin
10	101605510	101606019	DNase1	Open Chromatin
10	101723247	101723619	DNase1	Open Chromatin
10	101741560	101742005	DNase1	Open Chromatin
10	101742971	101743453	DNase1	Open Chromatin
10	101753506	101754709	DNase1	Open Chromatin
10	101765967	101766554	DNase1	Open Chromatin
10	101769263	101769982	DNase1	Open Chromatin
10	101805832	101806124	DNase1	Open Chromatin
10	101943124	101943636	DNase1	Open Chromatin
10	101945500	101946277	DNase1	Open Chromatin
10	101952129	101952474	DNase1	Open Chromatin
10	101988584	101989632	DNase1	Open Chromatin
10	102016715	102017165	DNase1	Open Chromatin
10	102045717	102046908	DNase1	Open Chromatin
10	102051036	102051559	DNase1	Open Chromatin
10	102052025	102052358	DNase1	Open Chromatin
10	102086613	102087266	DNase1	Open Chromatin
10	102106576	102107102	DNase1	Open Chromatin
10	102130249	102131420	DNase1	Open Chromatin
10	102132926	102134000	DNase1	Open Chromatin
10	102193508	102193927	DNase1	Open Chromatin
10	102241221	102241720	DNase1	Open Chromatin
10	102242288	102242675	DNase1	Open Chromatin
10	102289411	102289832	DNase1	Open Chromatin
10	102295304	102296089	DNase1	Open Chromatin
10	102321760	102322128	DNase1	Open Chromatin
10	102672268	102672907	DNase1	Open Chromatin
10	102672955	102673355	DNase1	Open Chromatin
10	102747058	102747455	DNase1	Open Chromatin
10	102772612	102773301	DNase1	Open Chromatin
10	102774072	102774367	DNase1	Open Chromatin
10	102774990	102775365	DNase1	Open Chromatin
10	102778005	102778521	DNase1	Open Chromatin
10	102778730	102779089	DNase1	Open Chromatin
10	102788270	102789061	DNase1	Open Chromatin
10	102790717	102793024	DNase1	Open Chromatin
10	102800935	102801309	DNase1	Open Chromatin
10	102802318	102803088	DNase1	Open Chromatin
10	102819732	102820126	DNase1	Open Chromatin
10	102820284	102821460	DNase1	Open Chromatin
10	102825832	102826282	DNase1	Open Chromatin
10	102827575	102827954	DNase1	Open Chromatin
10	102830679	102831625	DNase1	Open Chromatin
10	102901958	102902394	DNase1	Open Chromatin
10	103113347	103114135	DNase1	Open Chromatin
10	103124475	103124902	DNase1	Open Chromatin
10	103329909	103330363	DNase1	Open Chromatin
10	103347844	103348241	DNase1	Open Chromatin
10	103353081	103353458	DNase1	Open Chromatin
10	1033791	1034615	DNase1	Open Chromatin
10	103577749	103578904	DNase1	Open Chromatin
10	103590080	103591042	DNase1	Open Chromatin
10	103600433	103600824	DNase1	Open Chromatin
10	103608086	103609036	DNase1	Open Chromatin
10	103761210	103761580	DNase1	Open Chromatin
10	103762182	103762635	DNase1	Open Chromatin
10	103769607	103769927	DNase1	Open Chromatin
10	103784553	103784929	DNase1	Open Chromatin
10	103815008	103816316	DNase1	Open Chromatin
10	103824827	103825353	DNase1	Open Chromatin
10	103828860	103829269	DNase1	Open Chromatin
10	103832621	103832991	DNase1	Open Chromatin
10	103874543	103875080	DNase1	Open Chromatin
10	103879876	103880599	DNase1	Open Chromatin
10	103892094	103893994	DNase1	Open Chromatin
10	103911507	103912393	DNase1	Open Chromatin
10	103929215	103929498	DNase1	Open Chromatin
10	103985734	103986419	DNase1	Open Chromatin
10	103986793	103987265	DNase1	Open Chromatin
10	103989510	103989885	DNase1	Open Chromatin
10	104001223	104001633	DNase1	Open Chromatin
10	104004748	104005706	DNase1	Open Chromatin
10	104153631	104156020	DNase1	Open Chromatin
10	104158914	104159682	DNase1	Open Chromatin
10	104163489	104163902	DNase1	Open Chromatin
10	104180397	104181311	DNase1	Open Chromatin
10	104182420	104182784	DNase1	Open Chromatin
10	104192180	104192721	DNase1	Open Chromatin
10	104193401	104193773	DNase1	Open Chromatin
10	104209784	104210610	DNase1	Open Chromatin
10	104212370	104213217	DNase1	Open Chromatin
10	104213226	104213655	DNase1	Open Chromatin
10	104213659	104214202	DNase1	Open Chromatin
10	104215549	104216065	DNase1	Open Chromatin
10	104220814	104221283	DNase1	Open Chromatin
10	104227796	104228327	DNase1	Open Chromatin
10	104238650	104239121	DNase1	Open Chromatin
10	104261607	104262984	DNase1	Open Chromatin
10	104263352	104263914	DNase1	Open Chromatin
10	104269162	104269567	DNase1	Open Chromatin
10	104294058	104294405	DNase1	Open Chromatin
10	104343509	104344000	DNase1	Open Chromatin
10	104392903	104393482	DNase1	Open Chromatin
10	104401689	104402340	DNase1	Open Chromatin
10	104404628	104406559	DNase1	Open Chromatin
10	104433567	104434298	DNase1	Open Chromatin
10	104435907	104436412	DNase1	Open Chromatin
10	104438557	104439103	DNase1	Open Chromatin
10	104473324	104474533	DNase1	Open Chromatin
10	104488993	104489387	DNase1	Open Chromatin
10	104503172	104504024	DNase1	Open Chromatin
10	104533076	104533552	DNase1	Open Chromatin
10	104533683	104534158	DNase1	Open Chromatin
10	104535649	104536077	DNase1	Open Chromatin
10	104545505	104546056	DNase1	Open Chromatin
10	104555575	104556744	DNase1	Open Chromatin
10	104562889	104563391	DNase1	Open Chromatin
10	104572201	104572626	DNase1	Open Chromatin
10	104575129	104576379	DNase1	Open Chromatin
10	104578586	104579235	DNase1	Open Chromatin
10	104594671	104595126	DNase1	Open Chromatin
10	104613790	104614531	DNase1	Open Chromatin
10	104677194	104678464	DNase1	Open Chromatin
10	104952116	104952852	DNase1	Open Chromatin
10	104952908	104953356	DNase1	Open Chromatin
10	104953959	104954328	DNase1	Open Chromatin
10	104956844	104957388	DNase1	Open Chromatin
10	104959250	104959642	DNase1	Open Chromatin
10	104962053	104962654	DNase1	Open Chromatin
10	105001073	105002145	DNase1	Open Chromatin
10	105004465	105004826	DNase1	Open Chromatin
10	105043874	105044367	DNase1	Open Chromatin
10	105127469	105127891	DNase1	Open Chromatin
10	105128233	105128675	DNase1	Open Chromatin
10	105156058	105156654	DNase1	Open Chromatin
10	105193612	105193992	DNase1	Open Chromatin
10	105212061	105212379	DNase1	Open Chromatin
10	105229749	105230168	DNase1	Open Chromatin
10	105230523	105231522	DNase1	Open Chromatin
10	105241677	105241993	DNase1	Open Chromatin
10	105311299	105312158	DNase1	Open Chromatin
10	105314538	105315180	DNase1	Open Chromatin
10	105344350	105344835	DNase1	Open Chromatin
10	105404802	105405410	DNase1	Open Chromatin
10	10541843	10542151	DNase1	Open Chromatin
10	105419531	105420136	DNase1	Open Chromatin
10	105437858	105438282	DNase1	Open Chromatin
10	105456121	105456589	DNase1	Open Chromatin
10	105517472	105517963	DNase1	Open Chromatin
10	105523516	105523931	DNase1	Open Chromatin
10	105648094	105648417	DNase1	Open Chromatin
10	105667846	105668538	DNase1	Open Chromatin
10	105670738	105671127	DNase1	Open Chromatin
10	105677519	105678665	DNase1	Open Chromatin
10	105681456	105681861	DNase1	Open Chromatin
10	105726607	105727226	DNase1	Open Chromatin
10	105880492	105882290	DNase1	Open Chromatin
10	105991813	105992489	DNase1	Open Chromatin
10	106006474	106007654	DNase1	Open Chromatin
10	106014180	106014829	DNase1	Open Chromatin
10	106015332	106015848	DNase1	Open Chromatin
10	106028345	106029226	DNase1	Open Chromatin
10	106051179	106051620	DNase1	Open Chromatin
10	106065342	106065922	DNase1	Open Chromatin
10	106082193	106082639	DNase1	Open Chromatin
10	106083694	106084543	DNase1	Open Chromatin
10	106087806	106088206	DNase1	Open Chromatin
10	106088646	106089521	DNase1	Open Chromatin
10	106097064	106098690	DNase1	Open Chromatin
10	106109032	106110256	DNase1	Open Chromatin
10	106110556	106111527	DNase1	Open Chromatin
10	106113123	106113693	DNase1	Open Chromatin
10	106177392	106177898	DNase1	Open Chromatin
10	10704345	10705337	DNase1	Open Chromatin
10	10827966	10828770	DNase1	Open Chromatin
10	108695695	108696174	DNase1	Open Chromatin
10	108719893	108720246	DNase1	Open Chromatin
10	108751811	108752217	DNase1	Open Chromatin
10	108757477	108757922	DNase1	Open Chromatin
10	1089381	1089977	DNase1	Open Chromatin
10	109376454	109377145	DNase1	Open Chromatin
10	1094217	1095827	DNase1	Open Chromatin
10	109445857	109446273	DNase1	Open Chromatin
10	109447477	109447870	DNase1	Open Chromatin
10	109449050	109449536	DNase1	Open Chromatin
10	1101425	1102970	DNase1	Open Chromatin
10	1103270	1103682	DNase1	Open Chromatin
10	111643909	111644340	DNase1	Open Chromatin
10	111674660	111675112	DNase1	Open Chromatin
10	111682690	111683557	DNase1	Open Chromatin
10	111767204	111768205	DNase1	Open Chromatin
10	111834057	111834423	DNase1	Open Chromatin
10	111836174	111838022	DNase1	Open Chromatin
10	111841549	111842152	DNase1	Open Chromatin
10	111896805	111897273	DNase1	Open Chromatin
10	11189728	11190076	DNase1	Open Chromatin
10	111897972	111898365	DNase1	Open Chromatin
10	111900899	111901289	DNase1	Open Chromatin
10	111916547	111917060	DNase1	Open Chromatin
10	111948242	111948558	DNase1	Open Chromatin
10	111967139	111967529	DNase1	Open Chromatin
10	111970412	111971493	DNase1	Open Chromatin
10	111971866	111972396	DNase1	Open Chromatin
10	111981466	111982193	DNase1	Open Chromatin
10	111985439	111987362	DNase1	Open Chromatin
10	112033220	112033608	DNase1	Open Chromatin
10	112039138	112039509	DNase1	Open Chromatin
10	11204830	11205564	DNase1	Open Chromatin
10	112064302	112065223	DNase1	Open Chromatin
10	112065800	112066335	DNase1	Open Chromatin
10	11206622	11207686	DNase1	Open Chromatin
10	11208061	11208447	DNase1	Open Chromatin
10	112114036	112114486	DNase1	Open Chromatin
10	11212877	11213284	DNase1	Open Chromatin
10	112158301	112158833	DNase1	Open Chromatin
10	112170123	112170631	DNase1	Open Chromatin
10	112174142	112174882	DNase1	Open Chromatin
10	11217784	11218288	DNase1	Open Chromatin
10	112185599	112186134	DNase1	Open Chromatin
10	112186577	112187050	DNase1	Open Chromatin
10	11220659	11221046	DNase1	Open Chromatin
10	112206858	112207475	DNase1	Open Chromatin
10	11222130	11222713	DNase1	Open Chromatin
10	112252099	112252637	DNase1	Open Chromatin
10	112256967	112258371	DNase1	Open Chromatin
10	112260964	112261393	DNase1	Open Chromatin
10	112262666	112263170	DNase1	Open Chromatin
10	112263718	112264480	DNase1	Open Chromatin
10	112272508	112272943	DNase1	Open Chromatin
10	112295670	112296415	DNase1	Open Chromatin
10	112326939	112327902	DNase1	Open Chromatin
10	11239016	11239758	DNase1	Open Chromatin
10	112431836	112432304	DNase1	Open Chromatin
10	112477628	112478072	DNase1	Open Chromatin
10	11257443	11257820	DNase1	Open Chromatin
10	112602791	112603184	DNase1	Open Chromatin
10	112619418	112620116	DNase1	Open Chromatin
10	112621988	112622469	DNase1	Open Chromatin
10	112624362	112624839	DNase1	Open Chromatin
10	112627225	112627631	DNase1	Open Chromatin
10	112631241	112632192	DNase1	Open Chromatin
10	112632227	112632837	DNase1	Open Chromatin
10	11267808	11268410	DNase1	Open Chromatin
10	112678172	112679657	DNase1	Open Chromatin
10	112680294	112680681	DNase1	Open Chromatin
10	112888489	112888895	DNase1	Open Chromatin
10	11387733	11388151	DNase1	Open Chromatin
10	113943293	113943866	DNase1	Open Chromatin
10	114134769	114135236	DNase1	Open Chromatin
10	114135538	114136462	DNase1	Open Chromatin
10	114148942	114149842	DNase1	Open Chromatin
10	114206466	114207468	DNase1	Open Chromatin
10	114574914	114575804	DNase1	Open Chromatin
10	114595805	114596373	DNase1	Open Chromatin
10	114611930	114612513	DNase1	Open Chromatin
10	114635246	114635975	DNase1	Open Chromatin
10	114709673	114710234	DNase1	Open Chromatin
10	114711364	114712037	DNase1	Open Chromatin
10	114745511	114746273	DNase1	Open Chromatin
10	114793798	114794145	DNase1	Open Chromatin
10	114847012	114847572	DNase1	Open Chromatin
10	114853699	114854357	DNase1	Open Chromatin
10	114859324	114859757	DNase1	Open Chromatin
10	114913346	114913918	DNase1	Open Chromatin
10	114929692	114930209	DNase1	Open Chromatin
10	114938833	114939483	DNase1	Open Chromatin
10	115027353	115028332	DNase1	Open Chromatin
10	115032843	115033695	DNase1	Open Chromatin
10	115060181	115060861	DNase1	Open Chromatin
10	115063514	115063876	DNase1	Open Chromatin
10	115070131	115070527	DNase1	Open Chromatin
10	115079936	115080362	DNase1	Open Chromatin
10	115080723	115081194	DNase1	Open Chromatin
10	115082524	115083059	DNase1	Open Chromatin
10	115085848	115086375	DNase1	Open Chromatin
10	115141623	115142305	DNase1	Open Chromatin
10	115144865	115145260	DNase1	Open Chromatin
10	115438631	115439109	DNase1	Open Chromatin
10	115439373	115439798	DNase1	Open Chromatin
10	115440222	115441018	DNase1	Open Chromatin
10	11557659	11557941	DNase1	Open Chromatin
10	115613812	115615253	DNase1	Open Chromatin
10	115625646	115626067	DNase1	Open Chromatin
10	115713411	115713771	DNase1	Open Chromatin
10	115725421	115725871	DNase1	Open Chromatin
10	115747518	115748003	DNase1	Open Chromatin
10	115784942	115785550	DNase1	Open Chromatin
10	115786133	115786543	DNase1	Open Chromatin
10	115790755	115791206	DNase1	Open Chromatin
10	115803256	115803754	DNase1	Open Chromatin
10	115804814	115805324	DNase1	Open Chromatin
10	115820810	115821264	DNase1	Open Chromatin
10	115821523	115821947	DNase1	Open Chromatin
10	115933576	115934897	DNase1	Open Chromatin
10	11594041	11594614	DNase1	Open Chromatin
10	11602346	11602771	DNase1	Open Chromatin
10	11615473	11615965	DNase1	Open Chromatin
10	11653460	11653870	DNase1	Open Chromatin
10	116581190	116581912	DNase1	Open Chromatin
10	11666977	11667645	DNase1	Open Chromatin
10	116697735	116698233	DNase1	Open Chromatin
10	11726704	11727536	DNase1	Open Chromatin
10	11727888	11728214	DNase1	Open Chromatin
10	11752738	11753121	DNase1	Open Chromatin
10	11762112	11762706	DNase1	Open Chromatin
10	11784122	11784667	DNase1	Open Chromatin
10	11789141	11789586	DNase1	Open Chromatin
10	11799915	11800316	DNase1	Open Chromatin
10	118224909	118225468	DNase1	Open Chromatin
10	11865136	11865503	DNase1	Open Chromatin
10	118706565	118707078	DNase1	Open Chromatin
10	118707340	118708290	DNase1	Open Chromatin
10	118712282	118712947	DNase1	Open Chromatin
10	118763772	118764878	DNase1	Open Chromatin
10	11891811	11892408	DNase1	Open Chromatin
10	118927609	118928052	DNase1	Open Chromatin
10	118934343	118934778	DNase1	Open Chromatin
10	118935440	118935792	DNase1	Open Chromatin
10	118996878	118997302	DNase1	Open Chromatin
10	119101724	119102219	DNase1	Open Chromatin
10	119134539	119135459	DNase1	Open Chromatin
10	119157470	119157960	DNase1	Open Chromatin
10	119198750	119199214	DNase1	Open Chromatin
10	119202384	119202915	DNase1	Open Chromatin
10	119215897	119216274	DNase1	Open Chromatin
10	119805979	119806661	DNase1	Open Chromatin
10	120101618	120102038	DNase1	Open Chromatin
10	120261113	120261443	DNase1	Open Chromatin
10	120264027	120264445	DNase1	Open Chromatin
10	120271210	120271619	DNase1	Open Chromatin
10	120290671	120291349	DNase1	Open Chromatin
10	120489138	120489628	DNase1	Open Chromatin
10	120497160	120497482	DNase1	Open Chromatin
10	120514133	120515059	DNase1	Open Chromatin
10	120551947	120552558	DNase1	Open Chromatin
10	120552952	120553557	DNase1	Open Chromatin
