Chromosome/scaffold name	Start (bp)	End (bp)	Feature type
13	101218861	101219152	TF binding site
10	86687349	86687731	TF binding site
16	70404019	70404364	TF binding site
5	170868314	170868659	TF binding site
15	83635477	83635640	TF binding site
6	26357586	26357644	TF binding site
20	52311851	52312208	TF binding site
10	102000556	102000877	TF binding site
20	11419109	11419357	TF binding site
10	79474916	79475105	TF binding site
8	66396747	66397097	TF binding site
17	21176061	21176762	TF binding site
20	54439511	54439768	TF binding site
20	21686712	21686971	TF binding site
8	134321730	134322217	TF binding site
7	1891181	1891661	TF binding site
17	26695203	26695695	TF binding site
X	103029074	103029354	TF binding site
11	118339600	118340072	TF binding site
16	32235575	32235969	TF binding site
8	121357946	121358367	TF binding site
5	13866910	13867179	TF binding site
1	645991	646393	TF binding site
2	39261125	39261435	TF binding site
11	69908812	69908997	TF binding site
11	129601276	129601751	TF binding site
9	94797716	94797788	TF binding site
8	112005352	112005655	TF binding site
5	169616484	169616761	TF binding site
3	39457291	39457309	TF binding site
11	45412840	45413361	TF binding site
4	2207810	2208356	TF binding site
9	104554226	104554669	TF binding site
16	7014722	7014939	TF binding site
5	62724452	62724914	TF binding site
X	96842084	96842564	TF binding site
1	113454176	113454434	TF binding site
1	234587482	234587762	TF binding site
8	107858125	107858500	TF binding site
6	25582363	25582646	TF binding site
15	89962516	89963005	TF binding site
1	26164399	26164712	TF binding site
2	180652248	180652742	TF binding site
17	59669263	59670185	TF binding site
5	136104183	136104617	TF binding site
3	120550039	120550247	TF binding site
2	16727467	16727741	TF binding site
18	76419680	76420210	TF binding site
8	55471229	55471858	TF binding site
16	23328439	23328780	TF binding site
12	57510562	57511203	TF binding site
9	37769256	37770264	TF binding site
9	68674613	68674912	TF binding site
7	2700084	2701034	TF binding site
12	102823371	102824070	TF binding site
1	21707912	21708236	TF binding site
17	77796326	77796957	TF binding site
7	126297783	126297946	TF binding site
21	45925432	45926008	TF binding site
2	167211495	167211852	TF binding site
2	232103428	232103833	TF binding site
X	146250071	146250312	TF binding site
20	57566747	57567216	TF binding site
14	24364753	24364984	TF binding site
11	75254729	75255194	TF binding site
X	7492445	7492706	TF binding site
17	57162838	57163510	TF binding site
7	46609872	46610370	TF binding site
8	116962330	116962646	TF binding site
X	38034378	38034793	TF binding site
19	37602732	37602991	TF binding site
7	98634382	98634792	TF binding site
3	27766208	27766452	TF binding site
15	82927859	82928111	TF binding site
11	77797491	77798296	TF binding site
10	88094446	88094807	TF binding site
12	126554111	126554485	TF binding site
12	116391479	116391681	TF binding site
2	139200822	139201289	TF binding site
1	190603281	190603609	TF binding site
9	95386898	95387386	TF binding site
3	373611	373887	TF binding site
4	21514028	21514306	TF binding site
8	128126677	128127012	TF binding site
14	104839442	104839937	TF binding site
17	27413932	27414454	TF binding site
22	22354651	22354911	TF binding site
3	38565731	38566124	TF binding site
12	68432553	68432828	TF binding site
8	94188991	94189693	TF binding site
2	209522258	209522510	TF binding site
2	53703780	53704701	TF binding site
4	163102413	163102577	TF binding site
2	83298296	83298912	TF binding site
18	773933	774407	TF binding site
3	40423985	40424455	TF binding site
2	7033882	7034506	TF binding site
4	17559572	17559809	TF binding site
1	83244342	83244606	TF binding site
5	124797331	124797857	TF binding site
19	31844858	31845166	TF binding site
11	8945540	8945850	TF binding site
11	71435228	71435378	TF binding site
9	79832987	79833246	TF binding site
20	43039223	43040525	TF binding site
2	130316224	130316557	TF binding site
7	5628378	5628834	TF binding site
13	110849303	110849659	TF binding site
17	78602528	78603924	TF binding site
22	22026367	22026693	TF binding site
2	217908726	217909000	TF binding site
21	43293187	43293503	TF binding site
19	4660301	4661031	TF binding site
20	62776831	62777218	TF binding site
19	39735776	39736185	TF binding site
9	15578769	15579017	TF binding site
16	33154831	33155301	TF binding site
4	147554429	147554821	TF binding site
19	1760159	1760345	TF binding site
12	122764260	122764771	TF binding site
4	4866611	4867127	TF binding site
X	22296533	22296803	TF binding site
12	75629867	75630425	TF binding site
20	55516486	55516928	TF binding site
1	14933200	14933438	TF binding site
7	103746614	103746910	TF binding site
20	720831	721136	TF binding site
21	17894909	17895244	TF binding site
10	96752578	96752918	TF binding site
1	214443503	214443820	TF binding site
8	130741210	130741375	TF binding site
5	125903494	125903781	TF binding site
18	13037039	13037225	TF binding site
3	10909108	10909383	TF binding site
2	210171311	210171544	TF binding site
16	52615459	52615725	TF binding site
1	118141270	118141510	TF binding site
9	35801410	35802171	TF binding site
2	203052245	203052837	TF binding site
X	67238455	67239002	TF binding site
13	21675180	21675727	TF binding site
20	55729216	55730070	TF binding site
9	140849120	140849428	TF binding site
6	54835000	54835783	TF binding site
16	83389784	83390134	TF binding site
1	220872000	220872424	TF binding site
1	25774248	25774426	TF binding site
19	33119184	33119861	TF binding site
20	21687039	21687568	TF binding site
8	90553559	90554133	TF binding site
20	50850864	50851592	TF binding site
10	86475599	86476001	TF binding site
19	50484814	50485586	TF binding site
3	114275633	114276156	TF binding site
20	53260310	53260923	TF binding site
10	127610058	127610325	TF binding site
2	19331662	19332004	TF binding site
20	37352658	37354185	TF binding site
1	220454440	220454716	TF binding site
15	65403018	65403427	TF binding site
2	70653063	70653345	TF binding site
X	151389088	151389431	TF binding site
15	78584013	78584503	TF binding site
7	139005774	139006205	TF binding site
12	30910483	30910739	TF binding site
4	75255047	75255598	TF binding site
2	63223691	63224349	TF binding site
19	42570214	42570590	TF binding site
GL000241.1	30135	30282	TF binding site
20	55626221	55626548	TF binding site
1	15131186	15131453	TF binding site
4	139538018	139538298	TF binding site
16	55362607	55362891	TF binding site
8	13402361	13402648	TF binding site
17	59675968	59677015	TF binding site
13	26820265	26820671	TF binding site
10	18657782	18657958	TF binding site
X	117341721	117342293	TF binding site
20	40669663	40670132	TF binding site
7	45930753	45931024	TF binding site
6	158225670	158226111	TF binding site
11	119350394	119350795	TF binding site
9	126800032	126800333	TF binding site
10	285092	285377	TF binding site
5	153895163	153895320	TF binding site
2	190513893	190514173	TF binding site
7	122396936	122397352	TF binding site
7	25256450	25256722	TF binding site
9	74753864	74754666	TF binding site
7	88176049	88176505	TF binding site
13	112157497	112157881	TF binding site
2	37112780	37113159	TF binding site
12	103218189	103218661	TF binding site
16	7872606	7872927	TF binding site
11	82345173	82345531	TF binding site
22	41949892	41950350	TF binding site
X	8787292	8787557	TF binding site
3	64758518	64759312	TF binding site
4	189324449	189324766	TF binding site
22	23259404	23259949	TF binding site
15	64497538	64497854	TF binding site
14	54891109	54891639	TF binding site
6	20594428	20595017	TF binding site
6	153552197	153552609	TF binding site
2	107409087	107409560	TF binding site
12	87514112	87514636	TF binding site
3	70157246	70157551	TF binding site
10	82050561	82051181	TF binding site
GL000239.1	30777	31205	TF binding site
8	100694706	100695343	TF binding site
20	62867735	62868455	TF binding site
3	94784216	94784420	TF binding site
22	20280326	20280715	TF binding site
GL000219.1	96069	96496	TF binding site
2	170705416	170705765	TF binding site
1	224832186	224832679	TF binding site
16	1310872	1311957	TF binding site
4	135248170	135249628	TF binding site
11	103601399	103601642	TF binding site
17	9600039	9600341	TF binding site
3	45970558	45970977	TF binding site
20	62162226	62162571	TF binding site
9	123567256	123567718	TF binding site
X	139747178	139747445	TF binding site
20	53479546	53480004	TF binding site
13	82868442	82868710	TF binding site
14	28610844	28611276	TF binding site
3	197669898	197670180	TF binding site
14	87886301	87886631	TF binding site
11	120783295	120783620	TF binding site
22	22241590	22241916	TF binding site
17	59871349	59871990	TF binding site
8	111674809	111675154	TF binding site
6	10881769	10882036	TF binding site
10	8832280	8832686	TF binding site
4	3028248	3028539	TF binding site
16	28315366	28315860	TF binding site
16	58482823	58483216	TF binding site
GL000216.1	70098	70574	TF binding site
2	187796504	187796912	TF binding site
2	88430878	88431472	TF binding site
19	52168377	52168567	TF binding site
4	103953609	103954102	TF binding site
X	18428219	18428534	TF binding site
9	17996530	17997265	TF binding site
1	114501409	114501695	TF binding site
17	60227370	60227479	TF binding site
10	22698844	22698890	TF binding site
21	20324024	20324268	TF binding site
8	9318255	9318526	TF binding site
GL000220.1	92285	98236	TF binding site
11	125420624	125420969	TF binding site
1	182026217	182026475	TF binding site
20	49374550	49374832	TF binding site
4	78935982	78936586	TF binding site
3	128142442	128142613	TF binding site
10	126175135	126175636	TF binding site
4	79843397	79843698	TF binding site
9	36597418	36597685	TF binding site
9	94438346	94438690	TF binding site
1	162366595	162367435	TF binding site
3	155992548	155992953	TF binding site
19	18882337	18882843	TF binding site
X	50568353	50568611	TF binding site
14	57940745	57941158	TF binding site
X	751077	751323	TF binding site
1	196486193	196486491	TF binding site
7	41281596	41281684	TF binding site
17	72350107	72350668	TF binding site
1	110267773	110268644	TF binding site
16	24946803	24947008	TF binding site
5	77361473	77361822	TF binding site
21	39461019	39462188	TF binding site
2	219719931	219719989	TF binding site
1	188157542	188157811	TF binding site
7	145484554	145484863	TF binding site
19	51104592	51105703	TF binding site
22	51213541	51214056	TF binding site
10	85876995	85877296	TF binding site
18	67641727	67642002	TF binding site
7	153999516	153999933	TF binding site
14	53274870	53275208	TF binding site
1	34943421	34943636	TF binding site
19	42175477	42175850	TF binding site
8	136840827	136841088	TF binding site
7	79869957	79870151	TF binding site
4	4323077	4323390	TF binding site
8	68386781	68387410	TF binding site
22	25598354	25598684	TF binding site
17	38094469	38094863	TF binding site
9	126642296	126643179	TF binding site
4	184181659	184181996	TF binding site
2	172783013	172783356	TF binding site
2	211958512	211958725	TF binding site
19	18246698	18247519	TF binding site
16	194701	195391	TF binding site
X	123282136	123282322	TF binding site
10	25329050	25329385	TF binding site
18	56978834	56979217	TF binding site
12	3767552	3767854	TF binding site
1	208108385	208108983	TF binding site
1	20989919	20990316	TF binding site
1	146989532	146989895	TF binding site
2	224482808	224483743	TF binding site
11	69830495	69830907	TF binding site
13	92209614	92209891	TF binding site
8	10507071	10507695	TF binding site
14	78358722	78359079	TF binding site
3	55319188	55319573	TF binding site
1	95599154	95599687	TF binding site
1	213291025	213291361	TF binding site
10	840497	840883	TF binding site
5	146959988	146960307	TF binding site
4	68789670	68790033	TF binding site
13	47120202	47120943	TF binding site
X	110660187	110660457	TF binding site
1	144603451	144604142	TF binding site
2	224539627	224540146	TF binding site
16	21345504	21346232	TF binding site
9	133818186	133818471	TF binding site
1	19872205	19872541	TF binding site
2	31650882	31651138	TF binding site
X	105710675	105710917	TF binding site
7	13322052	13322394	TF binding site
7	3334456	3334732	TF binding site
4	174046183	174046829	TF binding site
20	22436714	22437252	TF binding site
7	149993674	149994353	TF binding site
20	52587487	52588317	TF binding site
5	149140950	149141348	TF binding site
16	90257274	90257787	TF binding site
GL000195.1	15339	15775	TF binding site
3	39709973	39710251	TF binding site
6	10392047	10392363	TF binding site
9	120689746	120690011	TF binding site
7	127087239	127087805	TF binding site
8	140641411	140641660	TF binding site
11	36660100	36660591	TF binding site
1	193048346	193048667	TF binding site
11	62489467	62489831	TF binding site
7	16643736	16644014	TF binding site
22	22047001	22047485	TF binding site
X	148863363	148863769	TF binding site
3	127061622	127062001	TF binding site
4	771691	772061	TF binding site
10	38737924	38738676	TF binding site
2	125425681	125425829	TF binding site
17	57626159	57626823	TF binding site
2	195684170	195684426	TF binding site
4	47857386	47857740	TF binding site
2	171110742	171111384	TF binding site
8	15652957	15653240	TF binding site
9	20312881	20313066	TF binding site
3	189499034	189499872	TF binding site
2	27779665	27779909	TF binding site
16	56634269	56634690	TF binding site
15	27219295	27219761	TF binding site
8	17328602	17329275	TF binding site
2	8901789	8902025	TF binding site
16	156780	157577	TF binding site
15	49205294	49205540	TF binding site
3	129140908	129141127	TF binding site
18	77492047	77492260	TF binding site
15	47625737	47626490	TF binding site
20	60989148	60989616	TF binding site
X	128257832	128258185	TF binding site
1	200227591	200227956	TF binding site
2	212243336	212243601	TF binding site
17	61190599	61190900	TF binding site
19	2228209	2229038	TF binding site
20	40763060	40763461	TF binding site
20	52426451	52427361	TF binding site
1	26356255	26356813	TF binding site
2	76501398	76501642	TF binding site
19	50755581	50755930	TF binding site
7	148932727	148932871	TF binding site
12	129423497	129423809	TF binding site
1	74968159	74968426	TF binding site
1	186011167	186011856	TF binding site
6	117507927	117508248	TF binding site
2	177020032	177020541	TF binding site
19	43139201	43139423	TF binding site
6	4920682	4920918	TF binding site
17	58670788	58671222	TF binding site
12	125817473	125817718	TF binding site
17	56906546	56907127	TF binding site
1	52217732	52218077	TF binding site
15	51944222	51945014	TF binding site
8	86769937	86771363	TF binding site
7	33826528	33826963	TF binding site
12	125579342	125579872	TF binding site
5	173572807	173573173	TF binding site
13	70744887	70745150	TF binding site
19	36109766	36110004	TF binding site
10	119445771	119446435	TF binding site
1	182065102	182065542	TF binding site
14	105927923	105928541	TF binding site
12	51586153	51586421	TF binding site
9	103227570	103227961	TF binding site
12	24718217	24718425	TF binding site
8	86560830	86561610	TF binding site
X	52780095	52780392	TF binding site
2	185068820	185069258	TF binding site
8	75560427	75560656	TF binding site
18	30790622	30790868	TF binding site
3	78893380	78894099	TF binding site
15	37435596	37435942	TF binding site
7	5007876	5008853	TF binding site
11	84095738	84096001	TF binding site
20	52801027	52802693	TF binding site
9	133826027	133826574	TF binding site
5	100682658	100682935	TF binding site
7	89778797	89779090	TF binding site
4	173277131	173277645	TF binding site
16	33287189	33287457	TF binding site
4	3608663	3609185	TF binding site
1	182862316	182862960	TF binding site
2	130945312	130945753	TF binding site
17	73568866	73569191	TF binding site
11	122745810	122745972	TF binding site
16	85075871	85076117	TF binding site
3	54222246	54222517	TF binding site
3	102327518	102328180	TF binding site
1	19383591	19384245	TF binding site
3	129690145	129690648	TF binding site
2	119785964	119786314	TF binding site
GL000208.1	75129	75481	TF binding site
15	93876809	93876836	TF binding site
10	108815935	108816336	TF binding site
18	7452326	7452682	TF binding site
7	153128024	153128538	TF binding site
9	126188665	126188983	TF binding site
7	157318023	157318660	TF binding site
6	23584388	23584715	TF binding site
22	19111562	19111967	TF binding site
22	50105833	50106204	TF binding site
21	35227585	35227843	TF binding site
4	31372429	31372852	TF binding site
8	12044390	12044650	TF binding site
2	112529820	112530135	TF binding site
4	9240197	9240434	TF binding site
18	67016949	67017582	TF binding site
1	192666945	192667305	TF binding site
8	87760838	87760996	TF binding site
13	76273824	76274134	TF binding site
6	31807737	31808660	TF binding site
6	46623553	46623818	TF binding site
14	94004823	94005158	TF binding site
8	80557846	80558010	TF binding site
6	42198207	42198581	TF binding site
9	140453522	140454208	TF binding site
9	108229535	108229746	TF binding site
4	92758624	92759405	TF binding site
5	148569621	148569963	TF binding site
9	15856566	15856984	TF binding site
3	185178551	185178882	TF binding site
3	174764527	174764877	TF binding site
8	112248588	112248910	TF binding site
16	8786424	8786677	TF binding site
1	217134945	217135189	TF binding site
8	104231394	104231779	TF binding site
2	101087388	101087752	TF binding site
20	35546469	35546664	TF binding site
4	136785344	136785843	TF binding site
12	124292822	124293083	TF binding site
2	207119803	207120081	TF binding site
10	76545933	76546225	TF binding site
6	122336159	122336528	TF binding site
10	13266738	13267013	TF binding site
18	35117786	35118268	TF binding site
6	130614964	130615323	TF binding site
10	6329347	6329710	TF binding site
1	107137843	107138290	TF binding site
9	83402600	83402937	TF binding site
2	132579991	132580290	TF binding site
4	526725	526947	TF binding site
18	60602816	60603146	TF binding site
17	76044877	76045325	TF binding site
3	8936379	8936845	TF binding site
7	20600131	20600682	TF binding site
18	73439381	73439780	TF binding site
19	3265506	3265873	TF binding site
22	22961721	22961858	TF binding site
9	974066	975672	TF binding site
18	48647145	48647492	TF binding site
13	28239554	28239791	TF binding site
8	74104046	74104201	TF binding site
15	27926298	27926514	TF binding site
3	148177854	148178037	TF binding site
5	6846392	6846935	TF binding site
2	15394122	15394546	TF binding site
4	171295940	171296306	TF binding site
5	149822886	149823206	TF binding site
2	170278726	170279027	TF binding site
3	142085340	142085609	TF binding site
2	242535049	242535329	TF binding site
6	143600662	143600836	TF binding site
11	63014699	63015638	TF binding site
20	57340714	57341325	TF binding site
6	150450974	150451259	TF binding site
6	14002835	14003072	TF binding site
13	60215393	60215757	TF binding site
19	59095524	59096874	TF binding site
1	7333992	7334977	TF binding site
2	220366047	220366677	TF binding site
7	9169747	9169998	TF binding site
6	108481165	108481571	TF binding site
18	21149639	21150065	TF binding site
6	12816260	12816810	TF binding site
X	39866320	39866703	TF binding site
X	76380837	76381091	TF binding site
11	116295475	116296173	TF binding site
17	20099425	20100335	TF binding site
11	116512234	116512662	TF binding site
Y	11260397	11260715	TF binding site
17	7304107	7304131	TF binding site
1	165338343	165338876	TF binding site
8	119820761	119820922	TF binding site
21	40220110	40220668	TF binding site
GL000220.1	61965	62243	TF binding site
8	117861414	117861978	TF binding site
10	5371171	5371438	TF binding site
8	138185246	138185594	TF binding site
6	38688125	38688354	TF binding site
4	17599200	17599486	TF binding site
8	94060502	94060801	TF binding site
4	125992077	125992338	TF binding site
16	64523399	64523727	TF binding site
15	102302585	102302907	TF binding site
21	40499529	40499890	TF binding site
20	52318846	52319378	TF binding site
15	34895356	34895729	TF binding site
16	2764401	2764820	TF binding site
16	62442727	62443055	TF binding site
5	118315777	118316157	TF binding site
1	220297286	220297583	TF binding site
5	9316892	9317233	TF binding site
16	12065966	12066233	TF binding site
17	74298781	74298970	TF binding site
X	65021891	65022086	TF binding site
12	63978227	63978592	TF binding site
16	10761136	10761483	TF binding site
10	118951474	118951631	TF binding site
3	5816044	5816381	TF binding site
2	75317957	75318158	TF binding site
5	73687658	73688116	TF binding site
16	1396898	1397223	TF binding site
19	36046490	36046926	TF binding site
10	9017601	9017954	TF binding site
7	103140408	103140766	TF binding site
20	4885160	4885536	TF binding site
20	55713606	55714103	TF binding site
2	214713395	214713684	TF binding site
14	60949554	60949825	TF binding site
12	20280197	20281032	TF binding site
5	39034714	39035121	TF binding site
2	100320185	100320443	TF binding site
2	138138217	138138523	TF binding site
1	5364822	5365032	TF binding site
20	49516801	49517073	TF binding site
6	13931960	13932285	TF binding site
1	6009291	6009917	TF binding site
X	134798709	134799088	TF binding site
20	33083108	33083504	TF binding site
X	46318243	46318511	TF binding site
3	64418608	64418875	TF binding site
16	1882539	1883580	TF binding site
2	7650552	7650817	TF binding site
2	209665682	209666057	TF binding site
2	144982604	144983049	TF binding site
3	135111022	135111331	TF binding site
8	89215637	89215944	TF binding site
9	123626205	123626528	TF binding site
20	52603470	52605507	TF binding site
8	145975555	145975973	TF binding site
5	51198372	51198734	TF binding site
1	207369544	207369731	TF binding site
5	107817142	107817383	TF binding site
3	13524716	13525288	TF binding site
2	174376170	174376459	TF binding site
6	138275377	138275676	TF binding site
12	60174570	60174860	TF binding site
20	48574206	48574555	TF binding site
10	120243127	120243403	TF binding site
9	99406435	99406876	TF binding site
2	47509716	47510124	TF binding site
2	66404615	66404875	TF binding site
8	64537837	64538000	TF binding site
8	94381292	94381589	TF binding site
11	114645376	114645735	TF binding site
17	59638527	59639447	TF binding site
2	239023188	239023417	TF binding site
5	133632333	133632604	TF binding site
1	157326823	157327487	TF binding site
2	169706039	169706448	TF binding site
7	135833488	135834399	TF binding site
9	81013934	81014461	TF binding site
20	52184025	52184557	TF binding site
20	50442884	50443289	TF binding site
10	117898414	117898791	TF binding site
15	79950097	79950430	TF binding site
GL000223.1	24792	26192	TF binding site
22	19189402	19190226	TF binding site
5	143239852	143240104	TF binding site
2	112487361	112487754	TF binding site
2	133435288	133435624	TF binding site
8	138270815	138271026	TF binding site
3	84273511	84273847	TF binding site
3	166896368	166896852	TF binding site
7	149457107	149459020	TF binding site
15	101829173	101829442	TF binding site
1	11591320	11591692	TF binding site
15	88351283	88351552	TF binding site
GL000216.1	61026	61313	TF binding site
17	14659763	14660270	TF binding site
20	46985197	46985672	TF binding site
9	103044146	103044786	TF binding site
5	95642722	95643198	TF binding site
4	96810864	96811139	TF binding site
3	177382240	177383068	TF binding site
16	46707093	46707766	TF binding site
17	66535677	66535965	TF binding site
7	144484362	144484556	TF binding site
15	68198794	68199022	TF binding site
12	61555708	61556126	TF binding site
4	6897794	6898128	TF binding site
2	237727008	237727396	TF binding site
7	121857210	121857588	TF binding site
11	83367836	83368475	TF binding site
4	84827184	84827464	TF binding site
6	113257604	113258338	TF binding site
7	87182659	87182881	TF binding site
2	201770360	201770822	TF binding site
GL000221.1	78262	78799	TF binding site
GL000195.1	80159	81084	TF binding site
18	23683560	23683930	TF binding site
14	30018121	30018439	TF binding site
1	185474767	185475251	TF binding site
3	16372798	16373259	TF binding site
21	44027756	44028204	TF binding site
X	19035472	19035761	TF binding site
1	233871515	233871939	TF binding site
17	59712233	59712879	TF binding site
11	31823061	31823247	TF binding site
12	111385763	111386223	TF binding site
7	103254697	103255232	TF binding site
17	43799589	43799928	TF binding site
16	77440631	77440909	TF binding site
3	176665824	176666436	TF binding site
3	190595768	190596104	TF binding site
GL000222.1	82938	83401	TF binding site
12	130511185	130511463	TF binding site
4	113691089	113691500	TF binding site
9	114406830	114407080	TF binding site
4	125808862	125809369	TF binding site
10	53764068	53764411	TF binding site
7	144241487	144241851	TF binding site
6	3504496	3505103	TF binding site
X	78094242	78094736	TF binding site
15	46086931	46087375	TF binding site
7	68483242	68483518	TF binding site
3	170273179	170273418	TF binding site
6	117168448	117168725	TF binding site
15	99671915	99672300	TF binding site
1	562904	563257	TF binding site
11	83962311	83962794	TF binding site
9	97955386	97955749	TF binding site
6	28681462	28681874	TF binding site
17	10301710	10301980	TF binding site
7	123575365	123575771	TF binding site
10	8084748	8085110	TF binding site
1	14893611	14893858	TF binding site
4	648176	648208	TF binding site
11	59865947	59866408	TF binding site
19	49022731	49023267	TF binding site
2	229553830	229554181	TF binding site
1	47366135	47366429	TF binding site
20	51377408	51377661	TF binding site
16	87754739	87756203	TF binding site
16	454947	456270	TF binding site
14	81323302	81323528	TF binding site
1	72591602	72591907	TF binding site
10	128208641	128208911	TF binding site
5	78882025	78882399	TF binding site
15	90216318	90216769	TF binding site
9	109139019	109139277	TF binding site
10	120353670	120354752	TF binding site
19	38460310	38460714	TF binding site
12	108775950	108776206	TF binding site
12	49845611	49845772	TF binding site
19	39566722	39567010	TF binding site
10	37357011	37357091	TF binding site
7	35191849	35191982	TF binding site
11	71242414	71242686	TF binding site
4	112984509	112984746	TF binding site
6	35429040	35429436	TF binding site
6	25914049	25914417	TF binding site
17	67098147	67098427	TF binding site
19	1052401	1052919	TF binding site
X	154167676	154167960	TF binding site
4	116871714	116871875	TF binding site
14	19503467	19503762	TF binding site
17	70330361	70330766	TF binding site
3	50221755	50222042	TF binding site
1	54848969	54849413	TF binding site
X	56974219	56974490	TF binding site
10	461901	462485	TF binding site
X	132180090	132180355	TF binding site
Y	23767217	23767949	TF binding site
6	147824705	147825121	TF binding site
20	46842470	46842864	TF binding site
2	186678343	186678864	TF binding site
4	176219357	176219716	TF binding site
20	13433277	13433822	TF binding site
22	16928386	16928650	TF binding site
19	45651344	45652015	TF binding site
12	128782698	128782925	TF binding site
2	81663395	81663779	TF binding site
5	103981486	103981904	TF binding site
5	168624402	168624698	TF binding site
5	23352496	23353061	TF binding site
3	108318431	108318727	TF binding site
10	6506954	6507314	TF binding site
8	86867612	86867890	TF binding site
22	19618561	19619293	TF binding site
6	163328989	163329259	TF binding site
1	40383562	40383845	TF binding site
X	134615633	134616059	TF binding site
17	15984807	15985189	TF binding site
3	64749517	64750044	TF binding site
7	84509461	84510935	TF binding site
X	17728953	17729413	TF binding site
2	51937515	51937785	TF binding site
2	68796790	68797094	TF binding site
14	45264962	45265299	TF binding site
18	42966295	42966584	TF binding site
6	20227706	20227924	TF binding site
1	16046325	16046479	TF binding site
4	54960066	54960458	TF binding site
X	55865912	55866260	TF binding site
8	59032353	59032817	TF binding site
1	224078084	224078636	TF binding site
8	26105966	26106128	TF binding site
9	120318564	120318839	TF binding site
9	136166311	136166697	TF binding site
9	69017189	69017411	TF binding site
5	127834544	127834889	TF binding site
17	46824327	46824549	TF binding site
4	172107922	172108197	TF binding site
2	33002873	33003164	TF binding site
8	87738290	87738457	TF binding site
8	28147695	28147980	TF binding site
14	61157996	61158398	TF binding site
5	54348278	54348549	TF binding site
16	77988377	77988824	TF binding site
14	99351477	99351694	TF binding site
5	139528175	139528376	TF binding site
1	155764716	155764843	TF binding site
6	72925971	72926269	TF binding site
9	116131329	116131615	TF binding site
1	106977888	106978302	TF binding site
8	15387312	15387602	TF binding site
17	9720408	9720843	TF binding site
6	30978974	30979382	TF binding site
11	116607571	116607787	TF binding site
20	31400515	31400639	TF binding site
21	38798090	38798599	TF binding site
17	15882392	15882695	TF binding site
16	30060036	30060300	TF binding site
17	2270400	2270742	TF binding site
6	1993355	1993662	TF binding site
6	43147654	43148085	TF binding site
19	46735317	46735641	TF binding site
10	54311134	54311166	TF binding site
17	49321235	49321654	TF binding site
1	112752216	112752491	TF binding site
2	58821297	58821660	TF binding site
17	59976883	59977936	TF binding site
GL000200.1	87399	88336	TF binding site
3	24239454	24239689	TF binding site
17	60785988	60786333	TF binding site
14	51086326	51086606	TF binding site
1	30885178	30885582	TF binding site
4	6558029	6558428	TF binding site
3	146307752	146308033	TF binding site
10	32703794	32704258	TF binding site
8	125939216	125939449	TF binding site
19	4266789	4267510	TF binding site
2	40077260	40077661	TF binding site
1	190754931	190755348	TF binding site
7	155257829	155258324	TF binding site
18	34112463	34112879	TF binding site
8	80710194	80710426	TF binding site
16	10513605	10513893	TF binding site
11	103041736	103041941	TF binding site
5	5473376	5473642	TF binding site
10	23709894	23710716	TF binding site
8	58462946	58463324	TF binding site
6	160994956	160995430	TF binding site
GL000228.1	93300	93578	TF binding site
13	39474391	39474678	TF binding site
10	124904304	124904952	TF binding site
5	38149173	38149597	TF binding site
13	71463181	71463734	TF binding site
1	91276862	91277506	TF binding site
5	72591430	72591677	TF binding site
22	19021078	19021353	TF binding site
11	112515575	112515737	TF binding site
5	38631236	38631598	TF binding site
12	97592434	97592711	TF binding site
7	157285609	157286073	TF binding site
X	39578287	39578682	TF binding site
19	7676373	7676837	TF binding site
17	58614605	58615310	TF binding site
7	158155651	158156190	TF binding site
1	144344215	144344613	TF binding site
5	7519327	7519643	TF binding site
22	22025000	22025256	TF binding site
8	69385525	69385737	TF binding site
16	17090756	17091010	TF binding site
6	128383798	128384526	TF binding site
20	46241385	46241828	TF binding site
7	112607663	112608150	TF binding site
5	92587800	92588200	TF binding site
13	68835266	68835575	TF binding site
11	27233077	27233329	TF binding site
1	224486671	224487055	TF binding site
9	83367524	83367825	TF binding site
15	90316116	90316438	TF binding site
7	158318758	158319133	TF binding site
6	89386561	89386804	TF binding site
10	129026030	129026421	TF binding site
10	64227333	64227406	TF binding site
GL000216.1	30531	31294	TF binding site
1	180553524	180553837	TF binding site
5	122470400	122470751	TF binding site
9	122636183	122636509	TF binding site
2	139131660	139131929	TF binding site
11	82478402	82478603	TF binding site
7	52395972	52396474	TF binding site
12	3444090	3444709	TF binding site
5	134986932	134987162	TF binding site
X	130466354	130466670	TF binding site
2	40064999	40065361	TF binding site
2	1773467	1773899	TF binding site
1	234382462	234382810	TF binding site
3	136361487	136361939	TF binding site
2	220992043	220992383	TF binding site
7	156785857	156786099	TF binding site
12	53514615	53514884	TF binding site
15	23692237	23692689	TF binding site
1	31596822	31597515	TF binding site
2	131571357	131571721	TF binding site
17	76395650	76396166	TF binding site
20	9810505	9810881	TF binding site
19	51837134	51837519	TF binding site
2	66046000	66046935	TF binding site
17	59245946	59246221	TF binding site
10	134798081	134798987	TF binding site
17	75217112	75217411	TF binding site
2	158828204	158828588	TF binding site
5	76856544	76856829	TF binding site
17	74841627	74842153	TF binding site
17	59662206	59662476	TF binding site
8	112576331	112576968	TF binding site
1	114920912	114921382	TF binding site
15	58596746	58596819	TF binding site
8	58105690	58106444	TF binding site
6	132144436	132144790	TF binding site
4	13541330	13541778	TF binding site
1	23090109	23090271	TF binding site
10	9677678	9677976	TF binding site
